id,城市,省份,年月,经度,纬度,舒适天数,空气质量指数,月最高温,月最低温,月平均温,东风频率,东风均速,南风频率,南风均速,西风频率,西风均速,北风频率,北风均速,东北风频率,东北风均速,东南风频率,东南风均速,西南风频率,西南风均速,西北风频率,西北风均速
36,三门峡市,河南省,2023-12,111.19,34.76,0,75.00,18.00,-10.00,0.61,29.03,2.78,6.45,4.00,70.97,2.14,54.84,2.12,3.23,1.00,6.45,4.00,0.00,0.00,51.61,2.19
37,三门峡市,河南省,2024-01,111.19,34.76,0,93.68,13.00,-10.00,0.39,35.48,2.36,0.00,0.00,61.29,2.11,70.97,1.95,9.68,1.33,0.00,0.00,0.00,0.00,58.06,2.11
38,三门峡市,河南省,2024-02,111.19,34.76,0,104.86,17.00,-8.00,1.59,55.17,2.56,6.90,4.00,41.38,2.08,37.93,1.82,6.90,1.00,6.90,4.00,0.00,0.00,27.59,2.12
39,三门峡市,河南省,2024-03,111.19,34.76,0,81.35,27.00,-2.00,10.48,48.39,2.53,19.35,3.00,51.61,2.56,51.61,2.31,6.45,1.50,16.13,3.00,3.23,3.00,45.16,2.43
40,三门峡市,河南省,2024-04,111.19,34.76,0,66.97,30.00,6.00,16.75,70.00,2.48,36.67,3.00,30.00,1.89,40.00,1.58,16.67,1.00,33.33,3.20,3.33,1.00,23.33,2.00
41,三门峡市,河南省,2024-05,111.19,34.76,10,59.84,34.00,9.00,21.56,54.84,3.06,45.16,3.29,38.71,1.75,35.48,1.82,6.45,2.00,38.71,3.50,0.00,0.00,29.03,1.78
42,三门峡市,河南省,2024-06,111.19,34.76,25,56.73,39.00,14.00,25.05,50.00,2.80,53.33,2.44,46.67,2.00,36.67,2.09,0.00,0.00,43.33,2.62,10.00,1.67,33.33,2.20
43,三门峡市,河南省,2024-07,111.19,34.76,29,39.03,34.00,16.00,25.23,61.29,1.95,61.29,1.79,32.26,1.60,16.13,1.40,12.90,1.50,29.03,2.11,29.03,1.56,0.00,0.00
44,三门峡市,河南省,2024-08,111.19,34.76,30,42.68,34.00,17.00,25.84,67.74,2.71,38.71,2.92,32.26,2.00,25.81,2.25,3.23,1.00,35.48,3.09,3.23,1.00,22.58,2.43
45,三门峡市,河南省,2024-09,111.19,34.76,19,47.20,33.00,8.00,22.23,80.00,3.25,50.00,3.73,20.00,2.67,30.00,2.33,10.00,1.67,50.00,3.73,0.00,0.00,20.00,2.67
46,三门峡市,河南省,2024-10,111.19,34.76,0,64.39,27.00,3.00,14.10,74.19,2.57,22.58,3.00,25.81,2.50,29.03,2.33,6.45,1.50,19.35,3.17,3.23,2.00,22.58,2.57
47,三门峡市,河南省,2024-11,111.19,34.76,0,78.50,19.00,-3.00,8.42,53.33,2.50,10.00,3.33,46.67,2.71,33.33,2.10,6.67,1.00,10.00,3.33,0.00,0.00,26.67,2.38
48,东莞市,广东省,2023-12,113.75,23.04,7,70.00,30.00,5.00,17.11,67.74,2.00,19.35,1.50,16.13,1.80,80.65,2.04,58.06,2.11,9.68,1.33,6.45,1.50,9.68,2.00
49,东莞市,广东省,2024-01,113.75,23.04,2,53.10,27.00,3.00,16.50,83.87,1.73,38.71,1.25,9.68,1.33,51.61,2.06,41.94,2.15,35.48,1.27,3.23,1.00,3.23,2.00
50,东莞市,广东省,2024-02,113.75,23.04,8,30.76,29.00,7.00,17.97,37.93,2.00,51.72,2.20,13.79,1.50,48.28,2.00,20.69,2.00,17.24,2.00,3.45,1.00,10.34,1.67
51,东莞市,广东省,2024-03,113.75,23.04,15,42.71,31.00,8.00,20.44,54.84,2.00,54.84,2.59,16.13,2.20,38.71,2.00,32.26,1.90,16.13,2.20,12.90,2.25,3.23,2.00
52,东莞市,广东省,2024-04,113.75,23.04,30,33.43,32.00,19.00,24.88,16.67,1.60,83.33,3.04,16.67,2.40,13.33,1.50,6.67,1.50,6.67,2.00,10.00,3.00,6.67,1.50
53,东莞市,广东省,2024-05,113.75,23.04,31,38.52,32.00,21.00,25.58,67.74,2.10,54.84,1.94,16.13,1.40,38.71,1.92,29.03,2.11,32.26,2.20,9.68,1.67,6.45,1.00
54,东莞市,广东省,2024-06,113.75,23.04,11,24.13,35.00,23.00,28.25,26.67,2.12,83.33,2.72,6.67,2.50,13.33,1.75,10.00,1.67,13.33,2.50,3.33,3.00,3.33,2.00
55,东莞市,广东省,2024-07,113.75,23.04,1,23.94,37.00,25.00,30.02,45.16,2.71,93.55,2.72,12.90,2.25,0.00,0.00,0.00,0.00,45.16,2.71,6.45,2.00,0.00,0.00
56,东莞市,广东省,2024-08,113.75,23.04,7,37.52,37.00,25.00,29.76,22.58,1.71,74.19,2.09,61.29,1.89,6.45,1.50,3.23,1.00,12.90,2.00,45.16,2.00,3.23,2.00
57,东莞市,广东省,2024-09,113.75,23.04,9,33.57,36.00,22.00,29.05,70.00,1.90,36.67,1.45,23.33,1.43,56.67,1.88,43.33,2.08,23.33,1.57,13.33,1.25,6.67,1.50
58,东莞市,广东省,2024-10,113.75,23.04,31,38.32,34.00,19.00,26.23,80.65,1.96,12.90,1.25,3.23,3.00,74.19,2.39,54.84,2.24,12.90,1.25,0.00,0.00,3.23,3.00
59,东莞市,广东省,2024-11,113.75,23.04,19,33.40,30.00,12.00,21.60,86.67,2.31,0.00,0.00,6.67,2.00,96.67,2.34,83.33,2.36,0.00,0.00,0.00,0.00,6.67,2.00
60,东营市,山东省,2023-12,118.49,37.46,0,138.00,22.00,-13.00,-0.63,32.26,3.30,29.03,2.11,61.29,2.53,54.84,3.29,25.81,3.50,6.45,2.50,19.35,1.83,25.81,3.00
61,东营市,山东省,2024-01,118.49,37.46,0,82.16,10.00,-10.00,-0.42,38.71,2.83,35.48,2.00,45.16,2.43,54.84,3.06,25.81,3.38,12.90,1.75,12.90,2.25,22.58,2.71
62,东营市,山东省,2024-02,118.49,37.46,0,70.10,21.00,-8.00,1.40,55.17,3.62,24.14,2.86,41.38,2.50,68.97,3.25,41.38,3.92,10.34,3.00,13.79,2.75,24.14,2.29
63,东营市,山东省,2024-03,118.49,37.46,0,83.94,23.00,-2.00,9.42,38.71,3.25,45.16,2.43,54.84,2.53,48.39,3.13,29.03,3.44,6.45,2.50,35.48,2.27,16.13,2.80
64,东营市,山东省,2024-04,118.49,37.46,0,67.30,30.00,5.00,16.88,66.67,3.10,46.67,2.71,26.67,2.88,36.67,3.45,30.00,3.44,20.00,2.67,20.00,2.67,6.67,3.50
65,东营市,山东省,2024-05,118.49,37.46,12,64.10,35.00,12.00,22.10,54.84,3.06,58.06,2.89,38.71,3.08,35.48,3.36,25.81,3.25,29.03,2.89,22.58,3.00,9.68,3.67
66,东营市,山东省,2024-06,118.49,37.46,27,63.77,40.00,17.00,27.42,60.00,2.72,60.00,2.89,30.00,2.33,30.00,2.22,16.67,2.40,36.67,2.91,13.33,3.00,13.33,2.00
67,东营市,山东省,2024-07,118.49,37.46,21,44.19,36.00,18.00,27.87,64.52,2.50,64.52,2.65,25.81,3.00,25.81,2.75,25.81,2.75,32.26,2.40,22.58,3.14,0.00,0.00
68,东营市,山东省,2024-08,118.49,37.46,20,42.97,37.00,21.00,28.81,54.84,2.47,48.39,2.67,32.26,2.70,38.71,2.42,29.03,2.56,16.13,2.60,19.35,3.00,9.68,2.00
69,东营市,山东省,2024-09,118.49,37.46,23,43.20,34.00,12.00,23.48,80.00,3.17,30.00,2.33,3.33,2.00,70.00,3.33,60.00,3.44,20.00,2.33,3.33,2.00,0.00,0.00
70,东营市,山东省,2024-10,118.49,37.46,1,56.52,26.00,6.00,15.87,54.84,2.82,48.39,2.27,32.26,2.40,48.39,2.87,25.81,3.12,25.81,2.50,12.90,2.25,19.35,2.50
71,东营市,山东省,2024-11,118.49,37.46,0,57.90,23.00,-4.00,10.48,36.67,2.27,33.33,2.00,43.33,2.62,53.33,2.88,23.33,2.29,10.00,2.33,10.00,1.33,23.33,3.29
72,中山市,广东省,2023-12,113.38,22.52,10,94.00,30.00,5.00,17.42,61.29,2.37,22.58,2.43,3.23,4.00,74.19,2.78,35.48,2.36,22.58,2.43,0.00,0.00,3.23,4.00
73,中山市,广东省,2024-01,113.38,22.52,1,54.16,26.00,3.00,16.45,67.74,2.10,41.94,2.23,0.00,0.00,48.39,2.87,16.13,2.20,41.94,2.23,0.00,0.00,0.00,0.00
74,中山市,广东省,2024-02,113.38,22.52,8,36.28,29.00,7.00,17.31,58.62,2.41,48.28,2.86,6.90,3.00,51.72,2.53,17.24,1.60,41.38,2.75,0.00,0.00,6.90,3.00
75,中山市,广东省,2024-03,113.38,22.52,17,43.84,31.00,7.00,20.24,64.52,2.55,58.06,2.94,6.45,3.00,32.26,2.60,16.13,2.20,38.71,2.83,3.23,4.00,3.23,2.00
76,中山市,广东省,2024-04,113.38,22.52,27,32.70,32.00,19.00,25.80,20.00,2.83,90.00,3.37,30.00,2.78,10.00,1.33,6.67,1.50,13.33,3.50,26.67,3.00,3.33,1.00
77,中山市,广东省,2024-05,113.38,22.52,31,35.52,32.00,20.00,25.37,74.19,2.48,67.74,2.52,12.90,2.00,19.35,1.83,12.90,1.75,48.39,2.73,12.90,2.00,0.00,0.00
78,中山市,广东省,2024-06,113.38,22.52,11,23.27,34.00,22.00,28.08,33.33,2.90,90.00,3.19,30.00,3.33,6.67,2.00,3.33,2.00,30.00,3.00,26.67,3.50,0.00,0.00
79,中山市,广东省,2024-07,113.38,22.52,2,19.39,35.00,24.00,29.52,58.06,3.00,93.55,3.00,16.13,3.00,0.00,0.00,0.00,0.00,58.06,3.00,9.68,3.67,0.00,0.00
80,中山市,广东省,2024-08,113.38,22.52,6,29.32,36.00,24.00,29.44,16.13,2.20,93.55,2.10,64.52,2.05,0.00,0.00,0.00,0.00,12.90,2.50,61.29,2.05,0.00,0.00
81,中山市,广东省,2024-09,113.38,22.52,14,33.13,35.00,21.00,28.38,73.33,2.14,46.67,1.86,23.33,1.29,33.33,2.30,23.33,2.71,36.67,2.00,6.67,1.50,10.00,1.33
82,中山市,广东省,2024-10,113.38,22.52,31,43.42,33.00,19.00,25.81,64.52,2.40,22.58,2.43,3.23,4.00,74.19,3.00,38.71,2.42,22.58,2.43,0.00,0.00,3.23,4.00
83,中山市,广东省,2024-11,113.38,22.52,18,41.63,29.00,12.00,21.03,83.33,2.60,0.00,0.00,0.00,0.00,100.00,2.73,83.33,2.60,0.00,0.00,0.00,0.00,0.00,0.00
84,临汾市,山西省,2023-12,111.50,36.08,0,78.00,18.00,-14.00,-0.34,41.94,1.69,35.48,1.36,48.39,1.80,61.29,1.89,32.26,1.90,6.45,1.00,22.58,1.57,25.81,2.00
85,临汾市,山西省,2024-01,111.50,36.08,0,95.03,11.00,-14.00,0.06,25.81,1.12,48.39,1.20,51.61,1.44,45.16,1.43,25.81,1.12,0.00,0.00,29.03,1.22,19.35,1.83
86,临汾市,山西省,2024-02,111.50,36.08,0,128.72,17.00,-7.00,1.57,51.72,1.73,44.83,1.54,41.38,1.83,48.28,2.00,37.93,1.91,10.34,1.33,31.03,1.67,10.34,2.33
87,临汾市,山西省,2024-03,111.50,36.08,0,85.13,28.00,-5.00,10.92,25.81,1.88,45.16,1.79,61.29,2.05,41.94,2.23,22.58,2.00,3.23,1.00,35.48,1.82,12.90,3.00
88,临汾市,山西省,2024-04,111.50,36.08,0,75.23,32.00,7.00,18.45,20.00,1.67,73.33,1.77,53.33,2.00,26.67,2.00,6.67,2.00,13.33,1.50,36.67,1.91,16.67,2.20
89,临汾市,山西省,2024-05,111.50,36.08,13,74.23,37.00,11.00,23.44,38.71,1.83,70.97,1.86,35.48,1.82,22.58,1.71,16.13,1.60,19.35,2.17,25.81,1.75,6.45,2.00
90,临汾市,山西省,2024-06,111.50,36.08,26,78.17,40.00,16.00,27.07,20.00,1.33,73.33,1.73,70.00,2.05,26.67,2.25,6.67,1.00,13.33,1.50,50.00,1.80,20.00,2.67
91,临汾市,山西省,2024-07,111.50,36.08,29,55.16,37.00,20.00,28.26,41.94,1.62,67.74,1.95,38.71,2.08,22.58,1.29,19.35,1.33,12.90,1.75,35.48,2.18,3.23,1.00
92,临汾市,山西省,2024-08,111.50,36.08,31,50.74,36.00,18.00,27.11,38.71,1.58,45.16,1.57,35.48,1.91,41.94,1.92,25.81,1.62,9.68,1.33,16.13,1.60,12.90,2.75
93,临汾市,山西省,2024-09,111.50,36.08,22,51.17,35.00,9.00,24.13,40.00,2.00,50.00,1.87,36.67,1.73,40.00,1.75,16.67,1.80,16.67,2.20,20.00,1.83,13.33,1.75
94,临汾市,山西省,2024-10,111.50,36.08,0,67.29,28.00,4.00,15.79,45.16,1.36,54.84,1.41,38.71,1.83,38.71,1.92,29.03,1.56,12.90,1.00,25.81,1.50,9.68,3.00
95,临汾市,山西省,2024-11,111.50,36.08,0,84.00,19.00,-5.00,8.88,40.00,1.17,46.67,1.36,46.67,2.29,46.67,2.00,23.33,1.14,13.33,1.25,23.33,1.57,20.00,3.17
96,临沂市,山东省,2023-12,118.35,35.05,0,150.00,21.00,-10.00,1.18,29.03,2.33,35.48,2.00,51.61,2.56,54.84,2.82,22.58,2.57,6.45,1.50,22.58,2.43,19.35,3.00
97,临沂市,山东省,2024-01,118.35,35.05,0,98.48,11.00,-8.00,1.05,41.94,2.62,35.48,2.00,45.16,2.07,58.06,2.67,25.81,3.00,12.90,2.00,19.35,2.00,22.58,2.14
98,临沂市,山东省,2024-02,118.35,35.05,0,82.03,20.00,-7.00,1.74,55.17,3.38,31.03,2.33,34.48,2.00,68.97,3.00,48.28,3.50,6.90,2.50,17.24,2.20,17.24,1.80
99,临沂市,山东省,2024-03,118.35,35.05,0,81.03,24.00,-3.00,9.65,35.48,2.91,45.16,2.50,45.16,2.43,38.71,2.75,22.58,2.86,3.23,2.00,25.81,2.38,12.90,2.50
100,临沂市,山东省,2024-04,118.35,35.05,0,64.60,28.00,6.00,17.00,73.33,2.45,66.67,2.30,16.67,2.20,26.67,2.75,23.33,2.86,43.33,2.23,13.33,2.25,3.33,2.00
101,临沂市,山东省,2024-05,118.35,35.05,10,63.84,35.00,11.00,21.76,64.52,2.65,61.29,2.74,22.58,2.57,35.48,2.55,19.35,2.83,41.94,2.62,9.68,3.33,12.90,2.00
102,临沂市,山东省,2024-06,118.35,35.05,29,61.87,37.00,17.00,26.55,70.00,2.76,73.33,2.59,23.33,2.14,23.33,2.86,16.67,3.00,50.00,2.73,16.67,2.00,6.67,2.50
103,临沂市,山东省,2024-07,118.35,35.05,21,39.39,35.00,20.00,27.23,41.94,2.38,70.97,2.73,45.16,2.79,16.13,2.00,12.90,1.75,16.13,2.60,41.94,2.77,3.23,3.00
104,临沂市,山东省,2024-08,118.35,35.05,25,46.35,36.00,22.00,28.76,48.39,2.20,64.52,2.00,41.94,1.85,32.26,2.10,25.81,2.38,19.35,2.00,35.48,2.00,6.45,1.00
105,临沂市,山东省,2024-09,118.35,35.05,24,41.93,34.00,13.00,24.60,86.67,2.85,23.33,2.29,3.33,1.00,63.33,3.05,53.33,3.12,20.00,2.50,3.33,1.00,0.00,0.00
106,临沂市,山东省,2024-10,118.35,35.05,1,65.16,27.00,5.00,16.00,74.19,2.13,32.26,1.50,22.58,2.14,45.16,2.43,29.03,2.44,22.58,1.43,9.68,1.67,12.90,2.50
107,临沂市,山东省,2024-11,118.35,35.05,0,62.00,23.00,-1.00,10.77,56.67,2.41,23.33,2.29,36.67,2.64,63.33,2.58,33.33,2.50,13.33,2.50,10.00,2.00,23.33,3.00
108,临沧市,云南省,2023-12,100.09,23.89,0,37.00,22.00,5.00,13.87,12.90,1.00,80.65,1.16,83.87,1.19,3.23,1.00,0.00,0.00,12.90,1.00,64.52,1.20,3.23,1.00
109,临沧市,云南省,2024-01,100.09,23.89,0,43.06,22.00,3.00,12.10,0.00,0.00,64.52,1.60,100.00,1.52,3.23,1.00,0.00,0.00,0.00,0.00,64.52,1.60,3.23,1.00
110,临沧市,云南省,2024-02,100.09,23.89,0,52.83,26.00,2.00,14.22,6.90,1.00,62.07,2.11,93.10,2.11,0.00,0.00,0.00,0.00,3.45,1.00,58.62,2.18,0.00,0.00
111,临沧市,云南省,2024-03,100.09,23.89,0,58.81,28.00,6.00,17.56,0.00,0.00,64.52,2.15,100.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,64.52,2.15,0.00,0.00
112,临沧市,云南省,2024-04,100.09,23.89,0,71.83,32.00,11.00,20.67,0.00,0.00,30.00,2.89,100.00,2.77,0.00,0.00,0.00,0.00,0.00,0.00,30.00,2.89,0.00,0.00
113,临沧市,云南省,2024-05,100.09,23.89,7,45.26,32.00,12.00,21.05,19.35,1.00,51.61,1.62,80.65,1.72,6.45,1.00,3.23,1.00,16.13,1.00,35.48,1.91,3.23,1.00
114,临沧市,云南省,2024-06,100.09,23.89,28,30.77,31.00,17.00,22.70,10.00,1.00,93.33,1.11,83.33,1.12,3.33,1.00,3.33,1.00,6.67,1.00,80.00,1.12,0.00,0.00
115,临沧市,云南省,2024-07,100.09,23.89,31,19.90,31.00,18.00,22.02,6.45,1.00,80.65,1.00,70.97,1.00,6.45,1.00,3.23,1.00,3.23,1.00,54.84,1.00,3.23,1.00
116,临沧市,云南省,2024-08,100.09,23.89,27,23.94,30.00,17.00,22.56,32.26,1.10,67.74,1.00,54.84,1.00,16.13,1.00,3.23,1.00,25.81,1.00,32.26,1.00,9.68,1.00
117,临沧市,云南省,2024-09,100.09,23.89,18,26.47,30.00,15.00,21.98,56.67,1.06,46.67,1.07,23.33,1.14,36.67,1.09,26.67,1.12,20.00,1.00,16.67,1.20,3.33,1.00
118,临沧市,云南省,2024-10,100.09,23.89,0,27.06,28.00,13.00,19.55,29.03,1.00,61.29,1.00,67.74,1.00,12.90,1.00,6.45,1.00,16.13,1.00,41.94,1.00,6.45,1.00
119,临沧市,云南省,2024-11,100.09,23.89,0,27.57,25.00,6.00,15.35,30.00,1.00,70.00,1.00,66.67,1.00,6.67,1.00,3.33,1.00,26.67,1.00,40.00,1.00,3.33,1.00
120,丹东市,辽宁省,2023-12,124.37,40.13,0,102.00,11.00,-23.00,-5.71,45.16,2.00,12.90,2.75,22.58,2.71,80.65,2.60,25.81,1.75,12.90,2.75,0.00,0.00,22.58,2.71
121,丹东市,辽宁省,2024-01,124.37,40.13,0,65.94,5.00,-18.00,-5.71,38.71,1.67,6.45,2.50,22.58,2.57,90.32,2.21,29.03,1.56,6.45,2.50,0.00,0.00,22.58,2.57
122,丹东市,辽宁省,2024-02,124.37,40.13,0,63.79,9.00,-10.00,-1.09,44.83,3.31,27.59,2.50,17.24,2.40,72.41,3.29,24.14,3.86,20.69,2.67,3.45,1.00,13.79,2.75
123,丹东市,辽宁省,2024-03,124.37,40.13,0,58.84,19.00,-9.00,3.97,25.81,3.00,45.16,2.71,51.61,2.81,48.39,3.20,9.68,3.67,16.13,2.60,19.35,2.67,25.81,3.00
124,丹东市,辽宁省,2024-04,124.37,40.13,0,60.00,24.00,4.00,12.98,26.67,2.62,63.33,2.95,26.67,2.25,36.67,2.82,16.67,2.40,10.00,3.00,16.67,2.40,10.00,2.00
125,丹东市,辽宁省,2024-05,124.37,40.13,0,41.06,25.00,7.00,16.15,29.03,2.78,64.52,2.85,38.71,2.50,35.48,2.73,12.90,3.00,16.13,2.60,25.81,2.62,12.90,2.25
126,丹东市,辽宁省,2024-06,124.37,40.13,15,35.70,34.00,11.00,21.53,23.33,2.29,83.33,2.64,43.33,2.62,16.67,2.60,3.33,2.00,20.00,2.33,33.33,2.60,10.00,2.67
127,丹东市,辽宁省,2024-07,124.37,40.13,31,32.06,32.00,18.00,24.56,45.16,3.00,93.55,2.62,32.26,2.20,3.23,2.00,0.00,0.00,41.94,3.00,29.03,2.22,3.23,2.00
